Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,time_point,replicate,chip_antibody
SRR6657555,Hi-C,152,14921584640,PRJNA432349,SAMN08446090,6518891383,ASCs on day 1 after neuronal induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634735,GSM2973930,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973930,Human primary adipose stem cells,SRP131871,Day 1,rep1,
SRR6657556,Hi-C,152,34569243720,PRJNA432349,SAMN08446089,13793443419,ASCs on day 1 after neuronal induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634736,GSM2973931,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973931,Human primary adipose stem cells,SRP131871,Day 1,rep2,
SRR6657557,Hi-C,152,6125638608,PRJNA432349,SAMN08446089,2600334944,ASCs on day 1 after neuronal induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634736,GSM2973931,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973931,Human primary adipose stem cells,SRP131871,Day 1,rep2,
SRR6657558,Hi-C,152,6555229824,PRJNA432349,SAMN08446089,2721539032,ASCs on day 1 after neuronal induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634736,GSM2973931,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973931,Human primary adipose stem cells,SRP131871,Day 1,rep2,
SRR6657559,Hi-C,152,14192387136,PRJNA432349,SAMN08446089,6163961693,ASCs on day 1 after neuronal induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634736,GSM2973931,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973931,Human primary adipose stem cells,SRP131871,Day 1,rep2,
SRR6657560,Hi-C,152,13391145128,PRJNA432349,SAMN08446089,5861167698,ASCs on day 1 after neuronal induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634736,GSM2973931,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973931,Human primary adipose stem cells,SRP131871,Day 1,rep2,
SRR6657561,Hi-C,152,11456290312,PRJNA432349,SAMN08446088,4861464555,ASCs on day 3 after adipogenic induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634737,GSM2973932,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973932,Human primary adipose stem cells,SRP131871,Day 3,rep1,
SRR6657562,Hi-C,152,7652256992,PRJNA432349,SAMN08446088,3187918737,ASCs on day 3 after adipogenic induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634737,GSM2973932,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973932,Human primary adipose stem cells,SRP131871,Day 3,rep1,
SRR6657563,Hi-C,152,18295636104,PRJNA432349,SAMN08446088,7970815226,ASCs on day 3 after adipogenic induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634737,GSM2973932,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973932,Human primary adipose stem cells,SRP131871,Day 3,rep1,
SRR6657564,Hi-C,152,17283883520,PRJNA432349,SAMN08446088,7565205548,ASCs on day 3 after adipogenic induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634737,GSM2973932,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973932,Human primary adipose stem cells,SRP131871,Day 3,rep1,
SRR6657565,Hi-C,152,16303239864,PRJNA432349,SAMN08446087,6991011001,ASCs on day 3 after adipogenic induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634738,GSM2973933,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973933,Human primary adipose stem cells,SRP131871,Day 3,rep2,
SRR6657567,Hi-C,152,23286939296,PRJNA432349,SAMN08446087,10236116550,ASCs on day 3 after adipogenic induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634738,GSM2973933,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973933,Human primary adipose stem cells,SRP131871,Day 3,rep2,
SRR6657568,Hi-C,152,21800015864,PRJNA432349,SAMN08446087,9636207727,ASCs on day 3 after adipogenic induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634738,GSM2973933,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973933,Human primary adipose stem cells,SRP131871,Day 3,rep2,
SRR6657566,Hi-C,152,11786750320,PRJNA432349,SAMN08446087,4961869624,ASCs on day 3 after adipogenic induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634738,GSM2973933,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973933,Human primary adipose stem cells,SRP131871,Day 3,rep2,

